Job Title,Company,Location,Date of listing,Seniority Level,Employment Type,Job Function,Industries
Data Scientist,Halian,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-11-28,Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting
data scientist - 1283651,Halian,United Arab Emirates,2023-01-31,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data and Business Analyst,MedSupply International,"Dubai, United Arab Emirates",2023-01-04,,,,
Data Analyst / Data Scientist (Remote),nybl,"Dubai, Dubai, United Arab Emirates",2022-12-07,Entry level,Full-time,Other,IT Services and IT Consulting
Data Engineer Intern,dubizzle,"Dubai, Dubai, United Arab Emirates",2023-01-17,Internship,Full-time,Information Technology,Online Audio and Video Media
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-17,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Business Analyst Intern (Commercial Team),Property Finder,"Dubai, Dubai, United Arab Emirates",2023-01-24,,,,
Internship - Business Analyst Assistant,CHANEL,"Dubai, Dubai, United Arab Emirates",2023-01-24,Internship,Full-time,"Research, Analyst, and Information Technology",Retail and Retail Luxury Goods and Jewelry
Specialist Data Science,Linked4HR,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-25,,,,
IT&D Graduate trainee,Reckitt,"Dubai, Dubai, United Arab Emirates",2023-01-16,,,,
Data Reliability Engineer Intern,dubizzle,"Dubai, Dubai, United Arab Emirates",2023-02-01,Internship,Full-time,Engineering and Information Technology,Online Audio and Video Media
Entry Level Quantitative Researcher,Cubist Systematic Strategies,"Dubai, Dubai, United Arab Emirates",2023-01-09,Entry level,Full-time,Research and Analyst,Financial Services
Data Analyst,PRIME IMMIGRATION LIMITED,"Dubai, Dubai, United Arab Emirates",2023-02-01,,,,
Data Science & Analytics Unit Head JOB,Department of Culture and Tourism – Abu Dhabi (DCT Abu Dhabi),"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-01,,,,
Data/AI Analyst,Halian,"Dubai, Dubai, United Arab Emirates",2022-11-30,Entry level,Full-time,Information Technology,IT Services and IT Consulting
"JUNIOR DATA SCIENTIST - Dubai, UAE, Cobblestone Energy, Dubai - UAE. - Powered By Qureos",Qureos,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-23,Entry level,Full-time,Engineering and Information Technology,Education
Data Engineer,Halian,"Dubai, Dubai, United Arab Emirates",2022-11-28,Entry level,Contract,Information Technology,IT Services and IT Consulting
"Data Scientist, RTC1 Recruitment Services - Powered By Qureos",Qureos,"Dubai, Dubai, United Arab Emirates",2023-01-23,,,,
Full Stack Data Engineer Intern,dubizzle,"Dubai, Dubai, United Arab Emirates",2023-01-31,Internship,Full-time,Engineering and Information Technology,Online Audio and Video Media
Data Analytics Project Manager,Kagool,"Dubai, Dubai, United Arab Emirates",2023-01-29,Full-time,,,
Commercial Strategy Internship,Property Finder,"Dubai, Dubai, United Arab Emirates",2023-01-26,,,,
Environmental Engineer - UAE,BESIX,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-05,Entry level,Full-time,"Quality Assurance, Consulting, and Engineering",Construction
BI Expert,Statistics Centre - Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-27,Entry level,Full-time,Business Development and Sales,Government Relations Services
Research Assistant,United Arab Emirates University,"Al Ain, Abu Dhabi Emirate, United Arab Emirates",2022-10-16,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
